shipping_id,order_id,delivery_status,shipping_date,return_date
150,150,Shipped,2025-08-21,
151,151,Shipped,2025-03-02,
152,152,Shipped,2025-10-25,
153,153,Delivered,2026-05-15,
154,154,Shipped,2026-03-25,
155,155,Shipped,2025-04-16,
156,156,Delivered,2025-12-03,
157,157,Delivered,2024-07-26,
158,158,Delivered,2026-05-30,
159,159,Delivered,2025-04-16,
160,160,Delivered,2026-03-27,
161,161,Delivered,2025-10-08,
162,162,Delivered,2026-02-24,
163,163,Delivered,2024-09-19,
164,164,Delivered,2025-11-04,
165,165,Delivered,2024-11-19,
166,166,Returned,2024-12-02,2026-03-31
167,167,Delivered,2024-06-25,
168,168,Delivered,2025-07-11,
169,169,Returned,2025-02-06,2025-08-01
170,170,Delivered,2024-11-07,
171,171,Delivered,2026-01-14,
172,172,Delivered,2026-03-31,
173,173,Delivered,2025-08-23,
174,174,Delivered,2024-08-22,
175,175,Delivered,2024-07-02,
176,176,Pending,2025-10-09,
177,177,Delivered,2024-06-26,
178,178,Shipped,2025-10-17,
179,179,Delivered,2024-09-19,
180,180,Delivered,2026-02-12,
181,181,Delivered,2026-01-04,
182,182,Delivered,2026-01-29,
183,183,Delivered,2025-06-12,
184,184,Pending,2024-12-22,
185,185,Delivered,2024-07-18,
186,186,Shipped,2025-05-10,
187,187,Delivered,2024-10-20,
188,188,Delivered,2025-08-15,
189,189,Delivered,2025-07-31,
190,190,Shipped,2026-03-01,
191,191,Delivered,2025-11-05,
192,192,Shipped,2026-01-29,
193,193,Delivered,2025-08-10,
194,194,Shipped,2024-09-16,
195,195,Delivered,2024-08-18,
196,196,Delivered,2025-02-21,
197,197,Returned,2025-09-13,2026-03-01
198,198,Delivered,2025-11-24,
199,199,Delivered,2025-08-12,
200,200,Shipped,2024-09-15,
201,201,Delivered,2025-08-05,
202,202,Shipped,2026-04-19,
203,203,Shipped,2025-02-10,
204,204,Delivered,2026-02-25,
205,205,Delivered,2025-03-15,
206,206,Delivered,2025-12-11,
207,207,Delivered,2026-03-21,
208,208,Shipped,2024-10-18,
209,209,Delivered,2024-10-02,
210,210,Delivered,2024-06-28,
211,211,Pending,2025-07-24,
212,212,Shipped,2024-08-27,
213,213,Delivered,2025-01-30,
214,214,Delivered,2025-01-05,
215,215,Delivered,2024-12-24,
216,216,Delivered,2025-12-25,
217,217,Pending,2025-10-18,
218,218,Shipped,2025-10-05,
219,219,Cancelled,2025-10-24,
220,220,Delivered,2026-05-11,
221,221,Shipped,2024-07-02,
222,222,Delivered,2026-04-01,
223,223,Returned,2026-01-16,2026-02-21
224,224,Shipped,2025-04-17,
225,225,Pending,2025-05-12,
226,226,Delivered,2026-04-22,
227,227,Delivered,2024-11-22,
228,228,Delivered,2025-08-24,
229,229,Delivered,2025-03-19,
230,230,Delivered,2026-05-04,
231,231,Shipped,2025-10-20,
232,232,Delivered,2025-12-17,
233,233,Delivered,2025-04-19,
234,234,Delivered,2024-12-20,
235,235,Delivered,2025-03-29,
236,236,Delivered,2026-02-21,
237,237,Pending,2024-08-04,
238,238,Returned,2026-03-20,2025-11-13
239,239,Delivered,2025-01-12,
240,240,Shipped,2025-12-01,
241,241,Delivered,2025-07-23,
242,242,Delivered,2025-08-14,
243,243,Shipped,2026-02-09,
244,244,Pending,2025-11-16,
245,245,Delivered,2024-08-14,
246,246,Delivered,2025-09-15,
247,247,Delivered,2024-06-16,
248,248,Delivered,2025-06-04,
249,249,Cancelled,2025-12-25,
250,250,Delivered,2024-06-27,
251,251,Pending,2024-12-06,
252,252,Delivered,2025-08-28,
253,253,Delivered,2026-03-26,
254,254,Delivered,2026-01-19,
255,255,Delivered,2025-08-10,
256,256,Delivered,2026-04-21,
257,257,Delivered,2025-01-13,
258,258,Delivered,2025-02-18,
259,259,Delivered,2026-01-07,
260,260,Shipped,2024-11-09,
261,261,Delivered,2025-09-19,
262,262,Delivered,2025-05-12,
263,263,Delivered,2024-10-25,
264,264,Delivered,2025-10-30,
265,265,Delivered,2025-05-30,
266,266,Delivered,2024-10-09,
267,267,Delivered,2025-03-24,
268,268,Shipped,2025-08-11,
269,269,Pending,2025-04-16,
270,270,Delivered,2026-06-10,
271,271,Delivered,2024-10-28,
272,272,Delivered,2024-06-22,
273,273,Pending,2025-08-27,
274,274,Returned,2026-04-20,2025-10-03
275,275,Shipped,2025-03-10,
276,276,Shipped,2025-07-05,
277,277,Shipped,2024-09-30,
278,278,Delivered,2025-07-01,
279,279,Delivered,2025-02-05,
280,280,Delivered,2026-05-11,
281,281,Delivered,2024-07-24,
282,282,Delivered,2026-03-20,
283,283,Delivered,2026-01-30,
284,284,Pending,2025-03-09,
285,285,Pending,2024-10-17,
286,286,Delivered,2024-09-22,
287,287,Delivered,2026-02-16,
288,288,Pending,2025-03-31,
289,289,Returned,2025-08-09,2025-06-13
290,290,Delivered,2025-06-04,
291,291,Delivered,2025-07-07,
292,292,Delivered,2026-03-10,
293,293,Shipped,2025-04-14,
294,294,Delivered,2024-12-16,
295,295,Delivered,2025-08-17,
296,296,Shipped,2025-12-09,
297,297,Delivered,2024-09-05,
298,298,Delivered,2026-03-05,
299,299,Delivered,2026-03-31,
300,300,Delivered,2025-08-24,
301,301,Delivered,2025-11-27,
302,302,Returned,2024-07-20,2026-01-16
303,303,Shipped,2025-12-06,
304,304,Pending,2024-12-10,
305,305,Delivered,2024-10-10,
306,306,Shipped,2025-06-03,
307,307,Delivered,2025-12-07,
308,308,Delivered,2025-08-17,
309,309,Delivered,2024-06-18,
310,310,Shipped,2026-06-09,
311,311,Delivered,2024-06-28,
312,312,Delivered,2025-12-22,
313,313,Delivered,2026-03-05,
314,314,Returned,2025-12-05,2025-10-28
315,315,Delivered,2024-09-24,
316,316,Delivered,2025-12-19,
317,317,Delivered,2025-09-07,
318,318,Delivered,2025-04-03,
319,319,Pending,2024-12-19,
320,320,Delivered,2025-11-12,
321,321,Delivered,2026-04-03,
322,322,Delivered,2026-03-29,
323,323,Delivered,2024-09-22,
324,324,Delivered,2024-12-28,
325,325,Shipped,2025-06-04,
326,326,Delivered,2024-11-28,
327,327,Delivered,2025-09-10,
328,328,Delivered,2024-06-23,
329,329,Returned,2025-01-01,2025-08-07
330,330,Delivered,2025-08-13,
331,331,Delivered,2024-06-17,
332,332,Delivered,2024-10-22,
333,333,Delivered,2026-04-09,
334,334,Delivered,2024-12-30,
335,335,Delivered,2025-09-16,
336,336,Delivered,2025-09-24,
337,337,Delivered,2024-09-19,
338,338,Delivered,2024-11-10,
339,339,Delivered,2026-04-05,
340,340,Shipped,2026-05-17,
341,341,Delivered,2026-05-22,
342,342,Delivered,2024-07-05,
343,343,Shipped,2024-06-21,
344,344,Delivered,2024-10-06,
345,345,Returned,2024-11-07,2025-06-13
346,346,Delivered,2024-10-05,
347,347,Delivered,2024-12-04,
348,348,Delivered,2024-09-03,
349,349,Delivered,2025-09-14,
350,350,Pending,2026-05-21,
351,351,Delivered,2025-08-11,
352,352,Pending,2024-10-22,
353,353,Delivered,2026-03-10,
354,354,Delivered,2025-02-15,
355,355,Pending,2026-03-02,
356,356,Delivered,2024-11-17,
357,357,Delivered,2025-04-17,
358,358,Delivered,2025-11-02,
359,359,Delivered,2025-10-26,
360,360,Delivered,2024-10-18,
361,361,Delivered,2024-11-17,
362,362,Delivered,2025-02-23,
363,363,Shipped,2025-04-01,
364,364,Delivered,2025-03-24,
365,365,Delivered,2026-05-05,
366,366,Delivered,2025-06-05,
367,367,Delivered,2026-01-25,
368,368,Delivered,2024-07-19,
369,369,Shipped,2025-06-02,
370,370,Delivered,2026-05-19,
371,371,Pending,2025-12-06,
372,372,Pending,2026-05-27,
373,373,Delivered,2025-10-22,
374,374,Delivered,2026-01-14,
375,375,Delivered,2026-06-10,
376,376,Delivered,2025-04-26,
377,377,Delivered,2026-05-27,
378,378,Delivered,2025-10-07,
379,379,Delivered,2025-03-27,
380,380,Delivered,2025-09-28,
381,381,Returned,2024-12-18,2025-06-22
382,382,Pending,2025-02-24,
383,383,Delivered,2025-09-29,
384,384,Delivered,2026-02-04,
385,385,Shipped,2024-06-29,
386,386,Delivered,2025-06-18,
387,387,Delivered,2026-05-16,
388,388,Delivered,2026-04-14,
389,389,Delivered,2025-07-23,
390,390,Delivered,2024-12-06,
391,391,Pending,2025-06-01,
392,392,Shipped,2024-07-11,
393,393,Delivered,2024-09-30,
394,394,Shipped,2025-08-28,
395,395,Delivered,2024-08-28,
396,396,Delivered,2025-05-24,
397,397,Delivered,2026-06-01,
398,398,Pending,2025-06-06,
399,399,Delivered,2026-01-24,
400,400,Delivered,2025-08-21,
401,401,Delivered,2024-06-28,
402,402,Delivered,2024-07-08,
403,403,Delivered,2026-04-19,
404,404,Returned,2025-06-19,2025-11-26
405,405,Delivered,2024-08-20,
406,406,Delivered,2025-07-19,
407,407,Pending,2025-07-19,
408,408,Delivered,2025-07-05,
409,409,Pending,2025-01-29,
410,410,Shipped,2026-05-15,
411,411,Delivered,2025-03-23,
412,412,Delivered,2025-05-31,
413,413,Delivered,2025-02-18,
414,414,Delivered,2024-09-11,
415,415,Delivered,2026-02-19,
416,416,Delivered,2025-11-16,
417,417,Delivered,2025-08-04,
418,418,Returned,2026-05-27,2026-04-29
419,419,Pending,2025-11-11,
420,420,Delivered,2024-08-15,
421,421,Delivered,2026-01-13,
422,422,Delivered,2024-10-21,
423,423,Delivered,2024-12-07,
424,424,Delivered,2024-12-31,
425,425,Returned,2025-09-03,2026-03-07
426,426,Delivered,2025-03-23,
427,427,Delivered,2026-05-20,
428,428,Delivered,2025-09-19,
429,429,Shipped,2025-10-22,
430,430,Delivered,2025-08-09,
431,431,Delivered,2024-11-20,
432,432,Delivered,2025-08-12,
433,433,Pending,2024-11-30,
434,434,Pending,2024-10-09,
435,435,Delivered,2026-02-21,
436,436,Delivered,2026-03-22,
437,437,Delivered,2025-06-16,
438,438,Delivered,2026-04-21,
439,439,Delivered,2025-03-11,
440,440,Pending,2026-02-08,
441,441,Delivered,2026-05-27,
442,442,Delivered,2025-05-23,
443,443,Shipped,2026-05-07,
444,444,Delivered,2025-08-01,
445,445,Delivered,2024-11-03,
446,446,Shipped,2024-10-12,
447,447,Pending,2025-06-08,
448,448,Shipped,2025-03-23,
449,449,Delivered,2026-06-08,
450,450,Delivered,2026-06-04,
451,451,Delivered,2026-05-14,
452,452,Delivered,2024-09-04,
453,453,Shipped,2024-11-16,
454,454,Delivered,2026-06-10,
455,455,Delivered,2026-02-26,
456,456,Delivered,2025-11-16,
457,457,Delivered,2025-02-23,
458,458,Delivered,2024-09-21,
459,459,Delivered,2025-05-21,
460,460,Delivered,2026-03-23,
461,461,Pending,2025-10-19,
462,462,Delivered,2026-02-28,
463,463,Returned,2024-07-30,2025-12-31
464,464,Delivered,2025-12-13,
465,465,Delivered,2024-07-23,
466,466,Pending,2025-01-01,
467,467,Delivered,2024-08-17,
468,468,Delivered,2025-07-21,
469,469,Delivered,2026-02-06,
470,470,Shipped,2024-10-20,
471,471,Delivered,2025-05-09,
472,472,Delivered,2026-05-12,
473,473,Delivered,2024-07-30,
474,474,Shipped,2025-05-10,
475,475,Delivered,2025-05-19,
476,476,Delivered,2025-08-26,
477,477,Delivered,2024-08-07,
478,478,Shipped,2025-12-17,
479,479,Delivered,2024-10-12,
480,480,Cancelled,2026-02-27,
481,481,Delivered,2025-11-10,
482,482,Delivered,2025-11-09,
483,483,Delivered,2026-01-25,
484,484,Delivered,2024-07-31,
485,485,Delivered,2024-10-29,
486,486,Delivered,2026-01-31,
487,487,Returned,2025-07-26,2026-03-14
488,488,Delivered,2024-09-13,
489,489,Returned,2024-07-22,2025-11-29
490,490,Delivered,2025-11-08,
491,491,Delivered,2025-06-21,
492,492,Shipped,2025-01-14,
493,493,Delivered,2024-07-19,
494,494,Pending,2025-10-02,
495,495,Delivered,2024-12-13,
496,496,Delivered,2025-03-17,
497,497,Delivered,2025-10-02,
498,498,Delivered,2025-02-20,
499,499,Delivered,2026-02-11,
500,500,Delivered,2026-01-02,
501,501,Shipped,2026-03-08,
502,502,Returned,2025-10-29,2026-05-20
503,503,Delivered,2026-02-02,
504,504,Delivered,2024-08-06,
505,505,Delivered,2025-04-13,
506,506,Delivered,2024-12-03,
507,507,Delivered,2024-08-31,
508,508,Returned,2025-08-04,2025-09-27
509,509,Delivered,2024-11-02,
510,510,Shipped,2025-11-22,
511,511,Delivered,2025-07-21,
512,512,Shipped,2025-04-03,
513,513,Shipped,2025-02-08,
514,514,Delivered,2024-11-16,
515,515,Cancelled,2025-05-07,
516,516,Delivered,2024-11-02,
517,517,Shipped,2025-08-22,
518,518,Delivered,2025-08-17,
519,519,Delivered,2024-09-23,
520,520,Shipped,2024-06-19,
521,521,Delivered,2026-06-07,
522,522,Delivered,2024-08-21,
523,523,Shipped,2025-03-05,
524,524,Delivered,2024-11-24,
525,525,Delivered,2024-11-08,
526,526,Delivered,2024-09-10,
527,527,Delivered,2026-03-15,
528,528,Delivered,2025-09-16,
529,529,Delivered,2025-06-15,
530,530,Delivered,2025-10-20,
531,531,Delivered,2024-11-26,
532,532,Delivered,2026-05-07,
533,533,Delivered,2025-02-08,
534,534,Delivered,2025-11-15,
535,535,Delivered,2025-11-05,
536,536,Delivered,2025-09-13,
537,537,Delivered,2025-05-19,
538,538,Delivered,2026-03-28,
539,539,Delivered,2025-03-07,
540,540,Delivered,2025-06-28,
541,541,Delivered,2024-08-07,
542,542,Delivered,2024-09-02,
543,543,Shipped,2024-07-24,
544,544,Delivered,2025-06-28,
545,545,Shipped,2026-05-06,
546,546,Delivered,2026-03-02,
547,547,Delivered,2024-11-06,
548,548,Shipped,2024-12-11,
549,549,Delivered,2026-05-28,
550,550,Delivered,2025-06-22,
551,551,Delivered,2025-05-01,
552,552,Delivered,2024-11-10,
553,553,Delivered,2025-09-06,
554,554,Shipped,2024-06-10,
555,555,Shipped,2025-08-31,
556,556,Delivered,2024-07-29,
557,557,Delivered,2025-11-22,
558,558,Delivered,2024-11-14,
559,559,Delivered,2026-01-11,
560,560,Delivered,2025-08-23,
561,561,Delivered,2024-09-19,
562,562,Shipped,2026-03-22,
563,563,Delivered,2025-09-16,
564,564,Delivered,2025-12-28,
565,565,Delivered,2025-10-05,
566,566,Delivered,2026-02-02,
567,567,Delivered,2026-01-27,
568,568,Shipped,2025-08-04,
569,569,Delivered,2026-04-19,
570,570,Delivered,2025-07-05,
571,571,Pending,2025-05-18,
572,572,Delivered,2025-03-09,
573,573,Shipped,2026-02-19,
574,574,Delivered,2024-07-26,
575,575,Delivered,2025-09-15,
576,576,Delivered,2024-07-13,
577,577,Returned,2025-09-06,2025-11-28
578,578,Delivered,2025-12-19,
579,579,Delivered,2025-05-28,
580,580,Shipped,2025-06-22,
581,581,Delivered,2025-02-19,
582,582,Returned,2024-09-23,2026-01-03
583,583,Delivered,2025-05-06,
584,584,Pending,2025-01-02,
585,585,Pending,2025-07-20,
586,586,Delivered,2026-03-13,
587,587,Delivered,2026-05-19,
588,588,Shipped,2025-09-18,
589,589,Delivered,2025-03-15,
590,590,Delivered,2025-06-26,
591,591,Delivered,2025-06-17,
592,592,Delivered,2025-08-09,
593,593,Delivered,2026-01-23,
594,594,Delivered,2025-06-01,
595,595,Delivered,2024-11-04,
596,596,Delivered,2025-07-22,
597,597,Delivered,2025-10-12,
598,598,Cancelled,2025-10-25,
599,599,Pending,2025-03-01,
600,600,Returned,2025-03-20,2025-09-22
601,601,Delivered,2026-04-06,
602,602,Delivered,2024-09-08,
603,603,Delivered,2024-08-22,
604,604,Delivered,2024-12-04,
605,605,Delivered,2024-11-23,
606,606,Delivered,2025-01-27,
607,607,Delivered,2026-02-07,
608,608,Delivered,2024-07-20,
609,609,Shipped,2024-12-13,
610,610,Delivered,2024-10-31,
611,611,Delivered,2025-08-04,
612,612,Returned,2024-11-07,2025-08-07
613,613,Delivered,2025-08-23,
614,614,Delivered,2024-10-27,
615,615,Delivered,2024-11-10,
616,616,Delivered,2025-10-05,
617,617,Shipped,2024-12-15,
618,618,Returned,2025-08-28,2026-02-01
619,619,Delivered,2025-01-26,
620,620,Delivered,2026-06-09,
621,621,Delivered,2024-12-06,
622,622,Shipped,2025-09-12,
623,623,Delivered,2025-08-29,
624,624,Delivered,2026-01-08,
625,625,Delivered,2025-11-26,
626,626,Cancelled,2024-10-27,
627,627,Delivered,2024-07-19,
628,628,Delivered,2025-02-15,
629,629,Delivered,2026-01-08,
630,630,Pending,2025-01-10,
631,631,Delivered,2026-05-19,
632,632,Delivered,2026-02-16,
633,633,Delivered,2025-12-14,
634,634,Delivered,2025-08-21,
635,635,Delivered,2025-12-12,
636,636,Delivered,2026-03-19,
637,637,Delivered,2026-01-06,
638,638,Delivered,2026-02-27,
639,639,Delivered,2025-09-23,
640,640,Delivered,2025-03-08,
641,641,Delivered,2024-07-09,
642,642,Delivered,2025-11-09,
643,643,Delivered,2026-02-06,
644,644,Cancelled,2026-05-11,
645,645,Delivered,2026-02-06,
646,646,Delivered,2024-08-12,
647,647,Delivered,2024-12-15,
648,648,Pending,2026-01-11,
649,649,Delivered,2026-02-03,
650,650,Delivered,2026-04-01,
651,651,Delivered,2024-10-01,
652,652,Delivered,2024-12-10,
653,653,Delivered,2026-02-01,
654,654,Delivered,2026-02-11,
655,655,Delivered,2024-10-16,
656,656,Delivered,2025-01-13,
657,657,Delivered,2024-10-23,
658,658,Delivered,2026-04-21,
659,659,Returned,2025-01-10,2025-07-14
660,660,Delivered,2025-09-04,
661,661,Shipped,2024-10-11,
662,662,Delivered,2024-06-16,
663,663,Cancelled,2025-12-01,
664,664,Delivered,2025-02-03,
665,665,Shipped,2024-09-11,
666,666,Delivered,2026-06-01,
667,667,Delivered,2025-08-02,
668,668,Delivered,2026-03-22,
669,669,Delivered,2026-05-20,
670,670,Shipped,2024-07-28,
671,671,Delivered,2026-04-30,
672,672,Delivered,2025-03-05,
673,673,Delivered,2025-11-29,
674,674,Pending,2025-01-20,
675,675,Pending,2025-04-18,
676,676,Delivered,2025-09-14,
677,677,Delivered,2025-10-22,
678,678,Shipped,2025-06-02,
679,679,Returned,2025-02-13,2026-05-23
680,680,Delivered,2024-12-06,
681,681,Delivered,2024-12-06,
682,682,Shipped,2026-06-07,
683,683,Pending,2025-10-14,
684,684,Delivered,2026-04-25,
685,685,Delivered,2025-09-16,
686,686,Delivered,2026-04-09,
687,687,Delivered,2026-04-28,
688,688,Delivered,2026-04-28,
689,689,Delivered,2024-09-02,
690,690,Delivered,2026-05-06,
691,691,Delivered,2026-04-13,
692,692,Delivered,2025-11-10,
693,693,Delivered,2024-11-18,
694,694,Returned,2026-04-14,2025-11-21
695,695,Delivered,2025-03-19,
696,696,Delivered,2025-10-21,
697,697,Pending,2026-01-07,
698,698,Delivered,2025-07-13,
699,699,Delivered,2024-10-14,
700,700,Delivered,2026-02-25,
701,701,Returned,2025-02-25,2025-07-03
702,702,Returned,2025-12-15,2025-11-21
703,703,Delivered,2026-02-27,
704,704,Delivered,2026-02-12,
705,705,Delivered,2026-03-14,
706,706,Shipped,2025-05-28,
707,707,Returned,2024-08-31,2025-11-14
708,708,Delivered,2025-10-28,
709,709,Delivered,2024-11-15,
710,710,Delivered,2026-05-09,
711,711,Delivered,2026-05-05,
712,712,Delivered,2026-04-25,
713,713,Returned,2025-01-29,2025-06-13
714,714,Delivered,2025-09-03,
715,715,Shipped,2025-08-19,
716,716,Delivered,2025-05-19,
717,717,Delivered,2025-07-28,
718,718,Delivered,2025-02-24,
719,719,Delivered,2025-08-06,
720,720,Pending,2026-06-09,
721,721,Delivered,2025-03-17,
722,722,Delivered,2025-01-23,
723,723,Pending,2024-10-25,
724,724,Delivered,2024-08-21,
725,725,Delivered,2025-07-13,
726,726,Pending,2025-04-29,
727,727,Pending,2025-12-01,
728,728,Shipped,2025-06-18,
729,729,Shipped,2025-04-27,
730,730,Delivered,2024-09-14,
731,731,Shipped,2025-09-24,
732,732,Shipped,2025-09-17,
733,733,Delivered,2024-10-12,
734,734,Delivered,2025-04-02,
735,735,Shipped,2025-11-08,
736,736,Shipped,2025-11-25,
737,737,Delivered,2024-07-19,
738,738,Delivered,2025-05-03,
739,739,Delivered,2025-01-20,
740,740,Delivered,2026-05-19,
741,741,Shipped,2025-01-02,
742,742,Shipped,2025-12-25,
743,743,Delivered,2024-09-22,
744,744,Delivered,2026-05-09,
745,745,Shipped,2024-12-03,
746,746,Delivered,2025-11-02,
747,747,Delivered,2025-04-03,
748,748,Returned,2026-02-10,2026-03-12
749,749,Delivered,2026-01-07,
750,750,Pending,2026-01-01,
751,751,Pending,2025-01-03,
752,752,Delivered,2024-10-12,
753,753,Delivered,2024-07-25,
754,754,Delivered,2026-03-18,
755,755,Returned,2024-07-22,2026-02-11
756,756,Delivered,2026-02-21,
757,757,Delivered,2025-02-11,
758,758,Shipped,2024-09-10,
759,759,Delivered,2024-07-03,
760,760,Returned,2025-05-12,2026-02-23
761,761,Delivered,2026-05-15,
762,762,Delivered,2024-07-29,
763,763,Delivered,2024-11-29,
764,764,Shipped,2024-08-15,
765,765,Delivered,2025-11-05,
766,766,Delivered,2024-07-16,
767,767,Delivered,2026-01-06,
768,768,Delivered,2025-04-02,
769,769,Delivered,2025-03-08,
770,770,Pending,2025-09-05,
771,771,Delivered,2024-08-14,
772,772,Shipped,2025-11-03,
773,773,Delivered,2025-05-18,
774,774,Delivered,2025-05-03,
775,775,Delivered,2025-07-10,
776,776,Returned,2025-09-18,2025-11-28
777,777,Shipped,2025-11-02,
778,778,Delivered,2025-10-22,
779,779,Delivered,2025-10-06,
780,780,Delivered,2024-10-30,
781,781,Delivered,2026-01-27,
782,782,Delivered,2026-05-24,
783,783,Pending,2025-02-20,
784,784,Delivered,2026-04-29,
785,785,Delivered,2026-03-16,
786,786,Delivered,2025-07-02,
787,787,Pending,2025-11-27,
788,788,Shipped,2025-05-26,
789,789,Delivered,2024-07-01,
790,790,Delivered,2025-08-08,
791,791,Delivered,2026-01-13,
792,792,Delivered,2024-09-10,
793,793,Delivered,2026-02-12,
794,794,Delivered,2024-12-11,
795,795,Delivered,2024-06-10,
796,796,Delivered,2026-04-14,
797,797,Delivered,2025-11-23,
798,798,Delivered,2025-10-29,
799,799,Delivered,2025-12-09,
800,800,Shipped,2025-01-13,
801,801,Delivered,2025-05-23,
802,802,Pending,2025-05-18,
803,803,Shipped,2025-12-15,
804,804,Delivered,2026-03-17,
805,805,Delivered,2024-11-23,
806,806,Delivered,2025-02-14,
807,807,Delivered,2025-10-17,
808,808,Shipped,2025-05-15,
809,809,Pending,2025-10-07,
810,810,Delivered,2024-09-03,
811,811,Delivered,2025-12-04,
812,812,Shipped,2025-01-09,
